category,name,mrp,discountpercent,availablequantity,discountedsellingprice,weightingms,outofstock,quantity,discountamount,discountpercent_calculated
Cooking Essentials,Everest Kesari Milk Masala,205.0,0,2,205.0,50,False,50,0.0,0.0
Cooking Essentials,Tong Garden Salted Cocktail Nuts,295.0,9,5,266.0,160,False,160,29.0,9.830508474576272
Cooking Essentials,MTR Uttapam Mix,165.0,5,6,156.0,500,False,500,9.0,5.454545454545454
Cooking Essentials,Gits Khaman Dhokla Instant Snack Mix,65.0,6,6,61.0,180,False,180,4.0,6.153846153846154
Cooking Essentials,Happilo Premium 100% Natural Whole Cashews,335.0,29,6,235.0,200,False,200,100.0,29.850746268656714
Cooking Essentials,Everest Dry Mango Powder,80.0,0,5,80.0,100,False,100,0.0,0.0
Cooking Essentials,Dabur Hommade - Ginger Garlic Past Tub,110.0,5,6,104.0,400,False,400,6.0,5.454545454545454
Cooking Essentials,Everest Chicken Masala,147.0,10,6,132.0,200,False,200,15.0,10.204081632653061
Cooking Essentials,Gits Medu Vada Instant Snack Mix,90.0,4,6,86.0,200,False,200,4.0,4.444444444444445
Cooking Essentials,Weikfield Drinking Chocolate Powder,65.0,10,6,58.0,100,False,100,7.0,10.76923076923077
Cooking Essentials,Popular Essentials Regular White Lobia,70.0,10,6,63.0,500,False,500,7.0,10.0
Cooking Essentials,Puro Healthy Salt Crystal,135.0,7,6,125.0,1000,False,1,10.0,7.4074074074074066
Cooking Essentials,Popular Essentials Premium Jeera Rice,140.0,0,5,140.0,1000,False,1,0.0,0.0
Cooking Essentials,Smith & Jones Shahi Paneer Masala Mix,44.0,0,6,44.0,60,False,60,0.0,0.0
Cooking Essentials,Betty Crocker Mug Treats - Chocolate Mix - Pack of 4,200.0,11,6,178.0,264,False,264,22.0,11.0
Cooking Essentials,Smith & Jones Pasta Masala,60.0,10,5,54.0,108,False,108,6.0,10.0
Cooking Essentials,Catch Black Pepper Sprinkler,100.0,0,1,100.0,50,False,50,0.0,0.0
Cooking Essentials,Weikfield Cooker Cake Mix - Chocolate,95.0,6,6,89.0,150,False,150,6.0,6.315789473684211
Cooking Essentials,ITC Master Chef Butter Chicken,75.0,30,6,52.0,80,False,80,23.0,30.666666666666664
Cooking Essentials,Masala Oats Masala & Coriander ,195.0,9,5,176.0,500,False,500,19.0,9.743589743589745
Cooking Essentials,Smith & Jones Mutter Paneer Masala,42.0,0,6,42.0,60,False,60,0.0,0.0
Cooking Essentials,Kitchens of India Dal Bukhara Gravy Mix,110.0,30,6,77.0,285,False,285,33.0,30.0
